species,atpA,atpB,matK,rbcL,rps4,rps4-trnS,trnL-trnF,plastome,join_by,specimen_voucher,publication,outgroup
Antrophyum_henryi,NA,NA,NA,NA,NA,NA,NA,MT130614,NA,NA,NA,FALSE
Antrophyum_latifolium,EF452076,EF452018,NA,EF452138,NA,NA,NA,NA,voucher,ranker1774,NA,FALSE
Antrophyum_ledermannii,NA,NA,KM884714,NA,NA,NA,KM884762,NA,voucher,lu25015,NA,FALSE
Antrophyum_malgassicum,KX165175,NA,NA,KX164965,NA,NA,NA,NA,voucher,frakotondrainibe1730,NA,FALSE
Antrophyum_megistophyllum,NA,NA,KM884716,NA,NA,NA,KM884763,NA,monophy,NA,NA,FALSE
Antrophyum_nambanense,NA,NA,MN864768,NA,NA,NA,MN864775,NA,voucher,chenwade5356,NA,FALSE
Antrophyum_obovatum,NA,NA,NA,MN868668,NA,NA,MN912802,NA,voucher,cbnu20180387,NA,FALSE
Antrophyum_parvulum,KX165247,NA,NA,KX164967,NA,NA,NA,NA,voucher,dkarger1333,NA,FALSE
Antrophyum_plantagineum,NA,NA,KM884703,KY099752,NA,NA,KM884751,NA,voucher,nitta2901,NA,FALSE
Antrophyum_reticulatum,KX165179,NA,NA,KX164970,NA,NA,NA,NA,voucher,tranker1948,NA,FALSE
Antrophyum_semicostatum,NA,NA,NA,NA,NA,NA,NA,MH173087,NA,NA,NA,FALSE
Antrophyum_sessilifolium,KX165249,NA,NA,KX164973,NA,NA,NA,NA,voucher,dcicuzza927,NA,FALSE
Antrophyum_smithii,NA,NA,KM884712,NA,NA,NA,KM884760,NA,monophy,NA,NA,FALSE
Antrophyum_solomonense,NA,NA,KM884718,NA,NA,NA,KM884766,NA,monophy,NA,NA,FALSE
Antrophyum_subfalcatum,KX165182,NA,NA,KX164975,NA,NA,NA,NA,voucher,cwchensitw1130,NA,FALSE
Antrophyum_vittarioides,KX165183,NA,NA,KX164976,NA,NA,KY101415,NA,voucher,lao0308021,NA,FALSE
Arachniodes_amabilis,NA,NA,MK013332,MK013496,MK031906,MK031906,MK013693,NA,voucher,knapp3780,NA,FALSE
Arachniodes_amoena,NA,EF450481,NA,EF463109,NA,NA,NA,NA,voucher,hmliua237,NA,FALSE
Arachniodes_aristata,NA,NA,MK013190,MK013356,MK031741,MK031741,MK013520,NA,voucher,knapp3846,NA,FALSE
Arachniodes_assamica,NA,EF450502,NA,EF463137,EF540706,EF540706,EF540701,NA,voucher,yhyanhn002,NA,FALSE
Arachniodes_blinii,NA,EF450503,NA,EF463138,EF540705,EF540705,EF540702,NA,voucher,xczhang2624,NA,FALSE
Arachniodes_carvifolia,NA,NA,MK013227,MK013394,MK031782,MK031782,MK013570,NA,voucher,lbzhangandhhe5452,NA,FALSE
Arachniodes_cavaleriei,NA,NA,MK013206,MK013377,MK031766,MK031766,MK013542,NA,voucher,lbzhang7775,NA,FALSE
Arachniodes_chinensis,NA,NA,MK013203,MK013373,MK031762,MK031762,MK013546,NA,voucher,lbzhang5402,NA,FALSE
Arachniodes_coniifolia,NA,NA,NA,NA,NA,NA,NA,MT130551,NA,NA,NA,FALSE
Arachniodes_cornucervi,NA,NA,MK013319,MK013480,MK031891,MK031891,MK013676,NA,voucher,lbzhang7357,NA,FALSE
Arachniodes_davalliaeformis,NA,NA,MK013218,MK013387,MK031775,MK031775,MK013559,NA,voucher,mickel5299,NA,FALSE
Arachniodes_denticulata,EF463664,EF463380,MK013222,MK013390,MK031777,MK031777,MK013564,NA,voucher,barrington2130,NA,FALSE
Arachniodes_fengii,NA,NA,NA,MK013397,MK031785,MK031785,MK013574,NA,voucher,lbzhang7174,NA,FALSE
Arachniodes_festina,NA,NA,MK013231,MK013400,MK031788,MK031788,MK013577,NA,voucher,knapp3787,NA,FALSE
Arachniodes_formosissima,NA,NA,NA,MK013429,MK031821,MK031821,MK013607,NA,voucher,lbzhang9438,NA,FALSE
Arachniodes_gigantea,NA,NA,NA,DQ508761,NA,NA,DQ514483,NA,voucher,ljm070,NA,FALSE
Arachniodes_globisora,NA,NA,MK013239,MK013408,MK031796,MK031796,MK013585,NA,voucher,lbzhang7606,NA,FALSE
Arachniodes_grossa,NA,NA,MK013243,MK013414,MK031801,MK031801,MK013590,NA,voucher,lbzhang6481,NA,FALSE
Arachniodes_hainanensis,NA,NA,NA,NA,NA,NA,NA,MT130572,NA,NA,NA,FALSE
Arachniodes_hekiana,NA,NA,MK013204,MK013375,MK031764,MK031764,MK013540,NA,voucher,lbzhang0660,NA,FALSE
Arachniodes_henryi,NA,NA,MK013248,MK013421,MK031806,MK031806,MK013598,NA,voucher,lbzhangandhhe4881,NA,FALSE
Arachniodes_hiugana,NA,NA,MK013249,AB575077,NA,MK031815,MK013599,NA,voucher,tns1107831,NA,FALSE
Arachniodes_hunanensis,NA,NA,NA,MK013422,NA,NA,NA,NA,unjoined,lbzhang0721,A plastid phylogeny of the fern genus Arachniodes (Dryopteridaceae),FALSE
Arachniodes_insularis,NA,NA,NA,MT657468,NA,NA,NA,NA,unjoined,krwood17137,Biogeography of Pacific pteridophytes in a global context,FALSE
Arachniodes_jinpingensis,NA,NA,MK013186,MK013361,MK031750,MK031750,MK013528,NA,voucher,lbzhang6876,NA,FALSE
Arachniodes_longipinna,NA,NA,MK013255,NA,NA,NA,MK013610,NA,voucher,lbzhang0667,NA,FALSE
Arachniodes_miqueliana,NA,EF450506,NA,EF463132,EF540708,EF540708,NA,NA,voucher,xczhang3469,NA,FALSE
Arachniodes_mutica,NA,NA,MK013173,AB575079,NA,NA,MK013699,NA,voucher,tns763931,NA,FALSE
Arachniodes_neopodophylla,NA,NA,NA,MK013342,MK031730,MK031730,MK013504,NA,voucher,lbzhangandhhe023,NA,FALSE
Arachniodes_nigrospinosa,NA,NA,MK013277,MK013447,MK031844,MK031844,MK013631,NA,voucher,knapp3566,NA,FALSE
Arachniodes_nipponica,NA,NA,MK013280,AB575080,NA,MK031848,MK013635,NA,voucher,tns9508318,NA,FALSE
Arachniodes_oohorae,NA,NA,MK013316,AB575081,NA,MK031916,MK013672,NA,voucher,tns766442,NA,FALSE
Arachniodes_pseudoaristata,NA,NA,MK013286,MK013452,MK031854,MK031854,MK013640,NA,voucher,knapp3946,NA,FALSE
Arachniodes_pseudoassamica,NA,NA,MK013288,MK013455,MK031857,MK031857,MK013643,NA,voucher,lbzhangandhhe4863,NA,FALSE
Arachniodes_quadripinnata,NA,NA,MK013291,MK013458,MK031859,MK031859,MK013646,NA,voucher,lbzhangandhhe4913,NA,FALSE
Arachniodes_rhomboidea,NA,EF450487,NA,EF463115,NA,NA,NA,NA,voucher,xczhang2611,NA,FALSE
Arachniodes_simplicior,NA,NA,MK013337,MK013499,MK031910,MK031910,MK013698,NA,voucher,cchen084,NA,FALSE
Arachniodes_simulans,NA,NA,MK013220,MK013388,MK032311,MK032311,MK013562,NA,voucher,lbzhangandhhe0111,NA,FALSE
Arachniodes_sinomiqueliana,NA,NA,NA,AB575084,NA,NA,NA,NA,unjoined,tns762679,Molecular species identification with rich floristic sampling: DNA,FALSE
Arachniodes_sinorhomboidea,NA,NA,MK013250,MK013423,MK031816,MK031816,MK013600,NA,voucher,lbzhang9430,NA,FALSE
Arachniodes_spectabilis,NA,NA,MK013311,MK013473,MK031884,MK031884,MK013666,NA,voucher,lbzhangandhhe4850,NA,FALSE
Arachniodes_standishii,NA,EF450508,NA,EF540722,EF540709,EF540709,EF540700,NA,voucher,xczhang3468,NA,FALSE
Arachniodes_superba,NA,NA,NA,NA,NA,NA,NA,MT130657,NA,NA,NA,FALSE
Arachniodes_tonkinensis,NA,NA,MK013318,MK013479,MK031890,MK031890,MK013675,NA,voucher,lbzhang8561,NA,FALSE
Arachniodes_tripinnata,NA,NA,NA,MK188728,NA,NA,NA,NA,unjoined,NA,NA,FALSE
Arachniodes_yasu-inouei,NA,NA,NA,LC484409,NA,NA,NA,NA,unjoined,tns1244729,An update and reassessment of fern and lycophyte diversity data in,FALSE
Arachniodes_ziyunshanensis,NA,NA,NA,MK013501,MK031913,MK031913,MK013703,NA,voucher,lbzhangandhhe6199,NA,FALSE
Archigrammitis_friderici-et-pauli,NA,KM218817,NA,KM218751,NA,NA,NA,NA,voucher,chengweichen1630,NA,FALSE
Archigrammitis_marquesensis,NA,NA,NA,MT215977,NA,NA,NA,NA,unjoined,usschuettpelz1929,The Evolution of Overrepresentation: exploring the biogeography of,FALSE
Archigrammitis_ponapensis,NA,NA,NA,MT657611,NA,NA,NA,NA,unjoined,krwood13560,Biogeography of Pacific pteridophytes in a global context,FALSE
Archigrammitis_tahitensis,NA,NA,NA,KY099756,NA,NA,NA,NA,unjoined,nitta656,Life cycle matters: DNA barcoding reveals contrasting community,FALSE
Argyrochosma_chilensis,HQ846411,NA,NA,NA,NA,NA,NA,NA,unjoined,NA,NA,FALSE
Argyrochosma_connectens,NA,NA,NA,KP085553,KP085563,KP085563,KP085540,NA,voucher,m2012072002,NA,FALSE
Argyrochosma_dealbata,HQ846372,NA,NA,HQ846421,NA,NA,NA,NA,voucher,brooks16997,NA,FALSE
Argyrochosma_delicatula,HQ846371,NA,NA,U19500,NA,NA,NA,NA,monophy,NA,NA,FALSE
Argyrochosma_fendleri,HQ846382,NA,NA,U27727,DQ914125,DQ914125,DQ914209,NA,monophy,NA,NA,FALSE
Argyrochosma_flava,HQ846393,NA,NA,HQ846442,NA,NA,NA,NA,voucher,caedodmingaculloa13066bis,NA,FALSE
Argyrochosma_formosa,HQ846370,NA,NA,HQ846419,NA,NA,NA,NA,voucher,windham539,NA,FALSE
Argyrochosma_incana,HQ846403,NA,NA,HQ846452,NA,NA,NA,NA,voucher,reinadevender,NA,FALSE
Argyrochosma_jonesii,HQ846364,NA,NA,HQ846414,NA,NA,NA,NA,voucher,windham3429,NA,FALSE
Argyrochosma_limitanea,EU268722,EF452019,NA,EF452139,NA,NA,NA,NA,voucher,schuettpelz472,NA,FALSE
Argyrochosma_lumholtzii,HQ846375,NA,NA,HQ846424,NA,NA,NA,NA,voucher,fishbein4458,NA,FALSE
Argyrochosma_microphylla,HQ846394,NA,NA,HQ846443,NA,NA,NA,NA,monophy,NA,NA,FALSE
Argyrochosma_nivea,HQ846376,NA,NA,HQ846425,NA,NA,NA,NA,voucher,galiano6865,NA,FALSE
Argyrochosma_pallens,HQ846377,NA,NA,HQ846426,NA,NA,NA,NA,voucher,yatskievychgastony89280,NA,FALSE
Argyrochosma_palmeri,HQ846410,NA,NA,HQ846458,NA,NA,NA,NA,monophy,NA,NA,FALSE
Argyrochosma_peninsularis,HQ846391,NA,NA,HQ846440,NA,NA,NA,NA,voucher,jlleondelaluz9784,NA,FALSE
Argyrochosma_pilifera,HQ846378,NA,NA,HQ846427,NA,NA,NA,NA,voucher,yatskievychgastony89287,NA,FALSE
Argyrochosma_stuebeliana,HQ846389,NA,NA,HQ846438,NA,NA,NA,NA,voucher,pchutchinsonjkwright5288,NA,FALSE
Argyrochosma_tenera,HQ846383,NA,NA,HQ846432,NA,NA,NA,NA,voucher,beckstg23950,NA,FALSE
Arthrobotrya_articulata,NA,NA,NA,NA,NA,GU376714,GU376565,NA,voucher,cicuzza220,NA,FALSE
Arthrobotrya_brightiae,KT831778,KT831810,NA,KT831848,NA,NA,NA,NA,voucher,patrickjacockpa1032,NA,FALSE
Arthrobotrya_wilkesiana,EF463730,EF463446,NA,EF463223,NA,NA,NA,NA,voucher,murdock131,NA,FALSE
Arthropteris_altescandens,NA,NA,NA,KF667641,NA,KF667554,KF667610,NA,voucher,skottsberg75,NA,FALSE
Arthropteris_articulata,KC977329,KC977348,NA,KC977367,NA,NA,KC977411,NA,voucher,leonperriefj1150,NA,FALSE
Arthropteris_beckleri,NA,AB212686,NA,AB212686,NA,NA,NA,NA,voucher,mkatoau308universityoftokyoherbarium,NA,FALSE
Arthropteris_cameroonensis,NA,NA,NA,KF667638,NA,KF667551,NA,NA,voucher,carvalho3771,NA,FALSE
Arthropteris_monocarpa,KF897993,NA,NA,KF887155,NA,NA,KF897941,NA,voucher,ikukkonen12551,NA,FALSE
Arthropteris_orientalis,NA,KC977357,NA,KC977378,NA,NA,KC977420,NA,voucher,hennequins156,NA,FALSE
Arthropteris_palisotii,NA,NA,NA,NA,NA,NA,NA,MT130588,NA,NA,NA,FALSE
Arthropteris_parallela,EF463862,EF463522,NA,EF463266,NA,NA,KC977425,NA,voucher,schuettpelz524,NA,FALSE
Arthropteris_paucivenia,EF463864,EF463524,KJ196619,EF463268,NA,NA,KC977426,NA,monophy,NA,NA,FALSE
Arthropteris_submarginalis,KC977339,KC977360,NA,KC977381,NA,NA,KC977423,NA,voucher,patrickjacockpa1028,NA,FALSE
Arthropteris_tenella,KF897998,NA,NA,KF887160,NA,NA,KF897946,NA,voucher,coveny9186,NA,FALSE
Ascogrammitis_anfractuosa,NA,MG948936,NA,MG948938,NA,MG966515,MG966517,NA,voucher,kessler14867vt,NA,FALSE
Ascogrammitis_angustipes,NA,KM218837,NA,GU476891,NA,KM106109,GU476703,NA,voucher,sundue1237,NA,FALSE
Ascogrammitis_athyrioides,NA,KM218840,NA,GU476856,NA,KM106110,GU476704,NA,voucher,lehnert261,NA,FALSE
Ascogrammitis_clathrata,NA,KM218838,NA,GU476843,NA,KM106111,GU476708,NA,voucher,kromer1237,NA,FALSE
Ascogrammitis_clavigera,NA,KM218839,NA,GU476925,NA,KM106112,GU476709,NA,voucher,schneider2400,NA,FALSE
Ascogrammitis_colombiensis,NA,GU476805,NA,GU476827,NA,KM106113,GU476711,NA,voucher,dassler947131,NA,FALSE
Ascogrammitis_cuencana,NA,NA,NA,GU476851,NA,KM106114,GU476714,NA,voucher,lehnert1164,NA,FALSE
Ascogrammitis_david-smithii,NA,GU476794,NA,GU476911,NA,GU387122,GU387284,NA,voucher,sundue785,NA,FALSE
Ascogrammitis_dilatata,NA,GU376640,NA,GU387033,NA,GU387124,GU387285,NA,voucher,labiak4728,NA,FALSE
Ascogrammitis_lehnertii,NA,MG948937,NA,MG948939,NA,MG966516,MG966518,NA,voucher,olivares142vt,NA,FALSE
Ascogrammitis_loxensis,NA,GU376641,NA,GU386995,NA,GU387125,GU387286,NA,voucher,sundue1073,NA,FALSE
Ascogrammitis_nana,NA,GU376642,NA,GU387031,NA,GU387126,GU387287,NA,voucher,labiak4725,NA,FALSE
Ascogrammitis_pichinchae,NA,NA,NA,GU476928,NA,NA,GU476730,NA,voucher,kawilson2816a,NA,FALSE
Ascogrammitis_pichinchensis,NA,GU476816,NA,GU476854,NA,KM106116,GU476732,NA,voucher,lehnert1577,NA,FALSE
Aspidotis_californica,NA,NA,JX313624,JX313525,NA,NA,NA,NA,voucher,metzgar178,NA,FALSE
Aspidotis_carlotta-halliae,NA,NA,NA,NA,DQ914130,DQ914130,DQ914214,NA,voucher,rk1226154uc1794523,NA,FALSE
Aspidotis_densa,EU268723,NA,JX313625,JX313526,NA,NA,NA,NA,voucher,pryer0602,NA,FALSE
Aspidotis_meifolia,NA,NA,JX313626,JX313527,NA,NA,NA,NA,voucher,yatskievychandgastony89219,NA,FALSE
Asplenium_abscissum,EF463587,EF463323,NA,EF463142,NA,NA,NA,NA,voucher,jimenez2503,NA,FALSE
Asplenium_actiniopteroides,NA,NA,NA,GU929853,NA,NA,NA,NA,unjoined,rv7427,"Pectin-rich, helical cell wall thickenings of root cortical cells",FALSE
Asplenium_acuminatum,NA,NA,NA,MT657719,NA,NA,NA,NA,unjoined,krwood15513,Biogeography of Pacific pteridophytes in a global context,FALSE
Asplenium_acutiusculum,NA,MK826259,NA,MK826762,MK827287,MK827287,MK827814,NA,voucher,zhang7487,NA,FALSE
Asplenium_adiantum-nigrum,NA,MK826366,NA,MK826923,MK827433,MK827433,MK827931,NA,voucher,rothfels4628b,NA,FALSE
Asplenium_adulterinum,NA,NA,NA,NA,EF645628,EF645628,NA,NA,publication,NA,diversity arrays technology (dart) for pan-genomic evolutionary,FALSE
Asplenium_aegaeum,NA,NA,NA,AY300103,AY549774,AY549774,AY300050,NA,voucher,jermy9181,NA,FALSE
Asplenium_aethiopicum,NA,MK826368,NA,MK826925,MK827435,MK827435,MK827933,NA,voucher,rothfels4663,NA,FALSE
Asplenium_affine,EF463589,EF463325,NA,EF463144,NA,NA,NA,NA,voucher,janssen2719,NA,FALSE
Asplenium_alatulum,NA,MK826223,NA,MK826703,MK827232,MK827232,MK827761,NA,voucher,xu334,NA,FALSE
Asplenium_alatum,NA,MK826371,NA,MK826928,MK827438,MK827438,MK827936,NA,voucher,rothfels5064,NA,FALSE
Asplenium_altajense,NA,MK826088,NA,NA,MK827115,MK827115,NA,NA,voucher,xur4,NA,FALSE
Asplenium_amboinense,NA,MK826447,NA,MK827005,MK827519,MK827519,MK827999,NA,voucher,lorence10594,NA,FALSE
Asplenium_anceps,NA,NA,NA,AY300105,AY549795,AY549795,AY300052,NA,voucher,vogel1111,NA,FALSE
Asplenium_angustum,NA,NA,NA,AY300106,AY549822,AY549822,AY300053,NA,voucher,boudrie3254,NA,FALSE
Asplenium_anisophyllum,NA,NA,NA,AY300107,AY549816,AY549816,AY300054,NA,voucher,kessler12765,NA,FALSE
Asplenium_annobonense,NA,NA,NA,NA,MK827566,MK827566,NA,NA,voucher,velayos11601,NA,FALSE
Asplenium_anogrammoides,NA,NA,NA,AB853879,NA,NA,NA,NA,unjoined,tnsvs1176817,New Records of Asplenium varians (Aspleniaceae) and Two New Hybrids,FALSE
Asplenium_antiquum,NA,NA,NA,EU240033,EU240020,EU240020,EU240028,NA,voucher,weltp22088,NA,FALSE
Asplenium_antrophyoides,NA,MK826186,NA,MK826665,NA,NA,MK827730,NA,voucher,xu290,NA,FALSE
Asplenium_appendiculatum,NA,NA,NA,KP774870,KP835458,KP835458,KP851900,NA,voucher,djo196,NA,FALSE
Asplenium_aran-tohanum,NA,NA,NA,LR588504,NA,NA,NA,NA,unjoined,NA,NA,FALSE
Asplenium_athertonense,NA,NA,NA,KP774875,KP835426,KP835426,KP835399,NA,voucher,djo289,NA,FALSE
Asplenium_attenuatum,NA,NA,NA,KP774918,KP218768,KP218768,KP218782,NA,voucher,djo317,NA,FALSE
Asplenium_aureum,NA,NA,NA,AF538311,NA,NA,AY160993,NA,voucher,cv164,NA,FALSE
Asplenium_auriculatum,NA,NA,NA,MW138131,NA,NA,NA,NA,unjoined,jhnitta2372,A taxonomic and molecular survey of the pteridophytes of the,FALSE
Asplenium_auritum,NA,MK826383,NA,MK826940,MK827450,MK827450,MK827944,NA,voucher,rothfels5036,NA,FALSE
Asplenium_australasicum,NA,MK826373,NA,MK826930,MK827440,MK827440,NA,NA,voucher,wood11012,NA,FALSE
Asplenium_austrochinense,NA,MK826173,NA,MK826651,MK827184,MK827184,MK827723,NA,voucher,xugx015,NA,FALSE
Asplenium_azoricum,NA,NA,NA,NA,NA,NA,AY549863,NA,unjoined,NA,NA,FALSE
Asplenium_baileyanum,NA,NA,NA,KP774943,NA,NA,KP639687,NA,publication,NA,phylogeny of the fern family aspleniaceae in australasia and the,FALSE
Asplenium_balearicum,NA,NA,NA,NA,MK827554,MK827554,NA,NA,voucher,pokornyor6,NA,FALSE
Asplenium_bangii,NA,MK826374,NA,MK826931,MK827441,MK827441,MK827937,NA,voucher,rothfels4831,NA,FALSE
Asplenium_barteri,NA,NA,NA,MK827041,NA,NA,MK827924,NA,monophy,NA,NA,FALSE
Asplenium_bicentenniale,NA,NA,NA,KP774944,KP218752,KP218752,KP218787,NA,voucher,djo273,NA,FALSE
Asplenium_bipartitum,NA,NA,NA,KF992427,NA,NA,NA,NA,unjoined,shennequin358,Evolutionary patterns in the assembly of fern diversity on the,FALSE
Asplenium_bipinnatifidum,NA,NA,NA,KP774915,KP872963,KP872963,KP835379,NA,voucher,fiji111,NA,FALSE
Asplenium_blastophorum,NA,NA,NA,MK826914,MK827423,MK827423,MK827925,NA,voucher,anderberg116,NA,FALSE
Asplenium_boltonii,NA,NA,NA,KF992428,NA,NA,NA,NA,unjoined,tjanssen2712,Evolutionary patterns in the assembly of fern diversity on the,FALSE
Asplenium_boreale,NA,MK826064,NA,MK826562,MK827089,MK827089,MK827648,NA,voucher,jl00262,NA,FALSE
Asplenium_bourgaei,NA,NA,NA,AY300108,NA,NA,NA,NA,unjoined,cultbgbo195vogelsn,Chloroplast phylogeny of asplenioid ferns based on rbcL and trnL-F,FALSE
Asplenium_bulbiferum,NA,NA,NA,KP774908,KP835435,KP835435,KP835373,NA,voucher,djo358,NA,FALSE
Asplenium_bullatum,NA,MK826208,NA,MK826687,MK827217,MK827217,MK827749,NA,voucher,xu314,NA,FALSE
Asplenium_capillipes,NA,MK826387,NA,MK826944,MK827454,MK827454,MK827948,NA,voucher,zhang9302,NA,FALSE
Asplenium_capitisyork,NA,MK826466,NA,KP774854,KP835424,KP835424,KP639686,NA,monophy,NA,NA,FALSE
Asplenium_carnarvonense,NA,NA,NA,KP774855,KP218774,KP218774,KP218784,NA,voucher,djo318,NA,FALSE
Asplenium_carruthersii,NA,NA,NA,KP774917,KP835417,KP835417,KP835374,NA,voucher,fiji73,NA,FALSE
Asplenium_castaneoviride,NA,NA,NA,MK774631,NA,NA,NA,NA,unjoined,NA,Exploring natural hybridizations among Asplenium ruprechtii and,FALSE
Asplenium_castaneum,NA,NA,NA,NA,NA,NA,JQ767823,NA,unjoined,NA,NA,FALSE
Asplenium_caudatum,NA,MK826438,NA,MK826997,MK827510,MK827510,MK827991,NA,voucher,lorench10577,NA,FALSE
Asplenium_celtibericum,NA,NA,NA,KU753803,NA,NA,NA,NA,unjoined,macb104526ind1,Iberian Aspleniaceae,FALSE
Asplenium_ceterach,NA,NA,NA,AF538312,NA,NA,AY162329,NA,voucher,cv5,NA,FALSE
Asplenium_chasmophilum,NA,NA,NA,NA,NA,NA,AY162339,NA,unjoined,NA,NA,FALSE
Asplenium_chathamense,NA,NA,NA,DQ186552,NA,NA,NA,NA,unjoined,weltp20498lrp2622,A new location for the Poor Knights Spleenwort (Asplenium,FALSE
Asplenium_christii,NA,NA,NA,GU929840,NA,NA,NA,NA,unjoined,rv7453,"Pectin-rich, helical cell wall thickenings of root cortical cells",FALSE
Asplenium_ciliatum,NA,NA,NA,JX068707,JX068790,JX068790,JX068750,NA,publication,NA,integrative dna taxonomy discovers cryptic diploid diversity in the,FALSE
Asplenium_cimmeriorum,NA,NA,NA,NA,NA,NA,GQ377153,NA,unjoined,NA,NA,FALSE
Asplenium_cirrhatum,NA,NA,NA,MW138232,NA,NA,NA,NA,unjoined,jhnitta767,A taxonomic and molecular survey of the pteridophytes of the,FALSE
Asplenium_claussenii,NA,NA,NA,KJ628628,NA,NA,NA,NA,unjoined,NA,Phylogenetic relatedness within neotropical fern communities,FALSE
Asplenium_coenobiale,NA,MK826342,NA,MK826896,MK827406,MK827406,MK827913,NA,voucher,zhang9157,NA,FALSE
Asplenium_compressum,NA,NA,NA,GU929836,NA,NA,NA,NA,unjoined,rv8852,"Pectin-rich, helical cell wall thickenings of root cortical cells",FALSE
Asplenium_confusum,NA,NA,NA,MK826848,MK827366,MK827366,MK827872,NA,voucher,zhang6303,NA,FALSE
Asplenium_contiguum,NA,MK826442,NA,MK827001,MK827514,MK827514,MK827995,NA,voucher,wood11823,NA,FALSE
Asplenium_cordatum,NA,MK826381,NA,MK826938,MK827448,MK827448,MK827942,NA,voucher,rothfels4638,NA,FALSE
Asplenium_cornutissimum,NA,MK826364,NA,MK826922,MK827431,MK827431,MK827930,NA,monophy,NA,NA,FALSE
Asplenium_crinicaule,NA,MK826356,NA,MK826910,MK827420,MK827420,MK827921,NA,voucher,zhang8298,NA,FALSE
Asplenium_cristatum,NA,NA,NA,AY549731,NA,NA,AY549834,NA,voucher,cranfillsn,NA,FALSE
Asplenium_cuneatiforme,NA,NA,NA,MK826729,MK827256,MK827256,MK827784,NA,voucher,knapp3630,NA,FALSE
Asplenium_cuneatum,NA,NA,NA,KP774903,KP851896,KP851896,KP835389,NA,voucher,fiji15,NA,FALSE
Asplenium_cuneifolium,NA,NA,NA,KR233933,NA,KR233957,KR233944,NA,voucher,ebs173,NA,FALSE
Asplenium_currorii,NA,NA,NA,GU929845,NA,NA,NA,NA,unjoined,792824,"Pectin-rich, helical cell wall thickenings of root cortical cells",FALSE
Asplenium_cuspidatum,NA,MK826502,NA,MK827051,MK827577,MK827577,MK828043,NA,voucher,rothfels2616,NA,FALSE
Asplenium_cymbifolium,NA,NA,NA,AB097593,NA,NA,NA,NA,unjoined,kyoyy00my06,Patterns of hybrid formation among cryptic species of bird-nest,FALSE
Asplenium_cyprium,NA,NA,NA,AF538314,NA,NA,AY162337,NA,voucher,cv249,NA,FALSE
Asplenium_cyrtosorum,NA,MK826205,NA,MK826684,MK827214,MK827214,MK827746,NA,voucher,xu3182,NA,FALSE
Asplenium_dalhousiae,NA,NA,NA,AF538317,NA,NA,AY161000,NA,voucher,cv318,NA,FALSE
Asplenium_dareoides,NA,NA,NA,AY300112,NA,NA,AY300059,NA,publication,NA,chloroplast phylogeny of asplenioid ferns based on rbcl and trnl-f,FALSE
Asplenium_daucifolium,NA,NA,NA,GU586808,NA,NA,NA,NA,unjoined,rv8220,The base number of 'loxoscaphoid' Asplenium species and its,FALSE
Asplenium_delavayi,NA,NA,NA,NA,NA,NA,NA,MT130545,NA,NA,NA,FALSE
Asplenium_dielerectum,NA,NA,NA,AY549737,AY549786,AY549786,AY549840,NA,voucher,wood7775,NA,FALSE
Asplenium_dielfalcatum,NA,NA,NA,AY549738,AY549787,AY549787,AY549841,NA,voucher,wood7826,NA,FALSE
Asplenium_diellaciniatum,NA,MK826444,NA,MK827003,MK827516,MK827516,MK827996,NA,voucher,wood16032,NA,FALSE
Asplenium_dielmannii,NA,NA,NA,AY549739,NA,NA,NA,NA,unjoined,NA,Origin of the endemic fern genus Diellia coincides with the renewal,FALSE
Asplenium_dielpallidum,NA,NA,NA,AY549740,AY549789,AY549789,AY549843,NA,voucher,wood7809,NA,FALSE
Asplenium_difforme,NA,NA,NA,KP774873,KP835454,KP835454,KP835364,NA,voucher,djo336,NA,FALSE
Asplenium_dimorphum,NA,NA,NA,AY641802,NA,NA,AY641795,NA,voucher,weltp020580lrp3101,NA,FALSE
Asplenium_dissectum,NA,NA,NA,MW138223,NA,NA,NA,NA,unjoined,jhnitta780,A taxonomic and molecular survey of the pteridophytes of the,FALSE
Asplenium_dognyense,NA,NA,NA,KP774895,KP835464,KP835464,KP851901,NA,voucher,nc78,NA,FALSE
Asplenium_dregeanum,NA,NA,NA,GU929839,NA,NA,NA,NA,unjoined,rv2753,"Pectin-rich, helical cell wall thickenings of root cortical cells",FALSE
Asplenium_elliottii,NA,NA,NA,AY549753,AY549817,AY549817,AY549857,NA,voucher,hemp4,NA,FALSE
Asplenium_elmeri,NA,MK826386,NA,MK826943,MK827453,MK827453,MK827947,NA,voucher,chen4638,NA,FALSE
Asplenium_emarginatum,NA,NA,NA,AF525266,NA,NA,AF525243,NA,publication,NA,phylogenetic and biosystematic relationships in four highly,FALSE
Asplenium_ensiforme,NA,MK826143,NA,MK826629,MK827156,MK827156,MK827707,NA,voucher,xugx020,NA,FALSE
Asplenium_erectum,NA,NA,NA,AY300113,AY549770,AY549770,AY300060,NA,voucher,hemp14,NA,FALSE
Asplenium_erosum,NA,NA,NA,KX397706,NA,NA,NA,NA,unjoined,meisenburgsn,Phylogenetic diversity of Florida plants,FALSE
Asplenium_excelsum,NA,MK826501,NA,MK827050,MK827576,MK827576,MK828042,NA,voucher,grusz155,NA,FALSE
Asplenium_exiguum,NA,MK826056,NA,MK826555,MK827081,MK827081,MK827642,NA,voucher,jl00472,NA,FALSE
Asplenium_falcatum,NA,MK826358,NA,MK826915,MK827424,MK827424,MK827926,NA,voucher,wu4258,NA,FALSE
