species,seq_len_atpA,accession_atpA,seq_len_atpB,accession_atpB,seq_len_matK,accession_matK,seq_len_rbcL,accession_rbcL,seq_len_rps4,accession_rps4,seq_len_rps4-trnS,accession_rps4-trnS,seq_len_trnL-trnF,accession_trnL-trnF,total_seq_len,join_by,specimen_voucher,publication
Austrogramme_marginata,0,NA,0,NA,0,NA,0,NA,578,AY357704,371,AY357704,0,NA,949,publication,NA,"phylogenetic relationships of the subfamily taenitidoideae,"
Azolla_caroliniana,0,NA,1153,EF520869,0,NA,1309,EF520919,612,EF520906,234,EF520906,950,EF520882,4258,voucher,wtulekesn,NA
Azolla_filiculoides,0,NA,1153,EF520876,0,NA,1309,EF520926,612,EF520913,234,EF520913,936,EF520889,4244,voucher,rloebcaldenhofsn,NA
Azolla_microphylla,0,NA,1157,EF520879,0,NA,1309,EF520929,612,EF520916,234,EF520916,951,EF520892,4263,voucher,tlumpkinsn,NA
Azolla_nilotica,0,NA,1142,EF520875,0,NA,1309,EF520925,517,EF520912,233,EF520912,842,EF520888,4043,monophy,NA,NA
Azolla_pinnata,0,NA,1145,EF520870,0,NA,1309,EF520920,612,EF520907,234,EF520907,908,EF520883,4208,voucher,baikaizesn,NA
Azolla_rubra,0,NA,1157,EF520880,0,NA,1309,EF520930,612,EF520917,234,EF520917,935,EF520893,4247,voucher,nnagalingumsn,NA
Baja_brandegeei,1735,MK020101,0,NA,0,NA,1309,MK020113,0,NA,0,NA,0,NA,3044,monophy,NA,NA
Blechnidium_melanopus,NA,NA,NA,NA,NA,NA,1117,KU898627,NA,NA,NA,NA,NA,NA,1117,unjoined,pknapp3355,A classification for Blechnaceae (Polypodiales: Polypodiopsida):
Blechnopsis_finlaysoniana,0,NA,288,KC542942,0,NA,589,KC525959,0,NA,0,NA,0,NA,877,voucher,sy002,NA
Blechnopsis_orientalis,1708,KC254194,1217,KC254273,796,KC254115,1206,KC254350,0,NA,0,NA,800,KC254424,5727,voucher,2565zhangxc,NA
Blechnum_appendiculatum,0,NA,0,NA,0,NA,1181,KU898613,542,KU898558,619,KU898558,854,KU898672,3196,voucher,bhcbsalino15454,NA
Blechnum_areolatum,0,NA,0,NA,0,NA,1181,KU898614,542,KU898559,614,KU898559,855,KU898673,3192,voucher,bhcbsalino15184,NA
Blechnum_asplenioides,0,NA,0,NA,0,NA,1181,KU898615,542,KU898560,615,KU898560,853,KU898674,3191,voucher,bhcbsalino14449,NA
Blechnum_auriculatum,0,NA,0,NA,0,NA,1181,KU898616,542,KU898561,612,KU898561,842,KU898675,3177,voucher,furbfunez2162,NA
Blechnum_australe,NA,NA,NA,NA,NA,NA,1263,KF992445,NA,NA,NA,NA,NA,NA,1263,unjoined,shennequinr17,Evolutionary patterns in the assembly of fern diversity on the
Blechnum_austrobrasilianum,0,NA,0,NA,0,NA,1181,KU898617,542,KU898562,615,KU898562,854,KU898676,3192,voucher,bhcbalmeida3372,NA
Blechnum_caudatum,0,NA,0,NA,0,NA,1181,KU898618,542,KU898563,619,KU898563,854,KU898677,3196,voucher,bhcbalmeida3371,NA
Blechnum_confluens,0,NA,0,NA,0,NA,1125,KU898625,542,KU898569,589,KU898569,844,KU898682,3100,voucher,lpbkessler13457,NA
Blechnum_gracile,1506,EF463615,1157,EF463351,0,NA,1308,EF463158,0,NA,0,NA,0,NA,3971,voucher,schuettpelz293,NA
Blechnum_gracilipes,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,850,KU898679,850,unjoined,NA,NA
Blechnum_hastatum,0,NA,0,NA,0,NA,1181,KU898619,542,KU898564,615,KU898564,0,NA,2338,voucher,sizuloaga11322,NA
Blechnum_laevigatum,0,NA,0,NA,0,NA,1181,KU898621,542,KU898566,615,KU898566,0,NA,2338,voucher,mbmcanestraro527,NA
Blechnum_lanceola,0,NA,0,NA,0,NA,1181,KU898622,541,KU898567,619,KU898567,852,KU898680,3193,voucher,bhcblaurent275,NA
Blechnum_longipilosum,0,NA,0,NA,0,NA,1181,KU898626,542,KU898570,615,KU898570,854,KU898683,3192,voucher,bhcbsalino15570,NA
Blechnum_occidentale,1506,EF452080,872,EU352268,0,NA,1298,EU352296,0,NA,0,NA,0,NA,3676,voucher,wolf289,NA
Blechnum_polypodioides,1740,JF832100,1157,EF463352,1326,JF832260,1308,EF463159,0,NA,0,NA,0,NA,5531,voucher,schuettpelz294,NA
Blechnum_punctulatum,0,NA,0,NA,0,NA,1259,KF975811,570,KF975767,601,KF975767,0,NA,2430,voucher,weltp021215,NA
Blotiella_glabra,NA,NA,NA,NA,NA,NA,1256,KF992448,NA,NA,NA,NA,NA,NA,1256,unjoined,egrangaudpacocksn,Evolutionary patterns in the assembly of fern diversity on the
Blotiella_lindeniana,NA,NA,NA,NA,NA,NA,1309,MW138157,NA,NA,NA,NA,NA,NA,1309,unjoined,jhnitta867,A taxonomic and molecular survey of the pteridophytes of the
Blotiella_pubescens,1506,EF463651,1278,EF463372,0,NA,1318,U05911,574,KT345854,655,KT345854,0,NA,5331,monophy,NA,NA
Blotiella_stipitata,1506,MH289651,0,NA,0,NA,1200,MG944780,570,MH289683,570,MH289683,912,MG944795,4758,voucher,sg1185,NA
Bolbitis_acrostichoides,0,NA,0,NA,0,NA,1308,KJ464420,0,NA,491,GU376645,337,GU376501,2136,monophy,NA,NA
Bolbitis_aliena,NA,NA,NA,NA,NA,NA,1275,KJ628643,NA,NA,NA,NA,NA,NA,1275,unjoined,NA,Phylogenetic relatedness within neotropical fern communities
Bolbitis_angustipinna,0,NA,0,NA,0,NA,1253,LC496712,0,NA,491,GU376654,395,GU376509,2139,monophy,NA,NA
Bolbitis_appendiculata,1503,KT831779,1094,KT831811,0,NA,1208,KT831849,0,NA,0,NA,0,NA,3805,voucher,liuhmlhm877,NA
Bolbitis_auriculata,1506,EF463665,1278,EF463381,0,NA,1308,EF463170,0,NA,0,NA,0,NA,4092,voucher,rakotondrainibe6611,NA
Bolbitis_bipinnatifida,0,NA,0,NA,0,NA,0,NA,0,NA,492,GU376676,383,GU376530,875,voucher,rouhan155,NA
Bolbitis_costata,NA,NA,NA,NA,NA,NA,807,KT225395,NA,NA,NA,NA,NA,NA,807,unjoined,NA,RbcL sequence of ferns
Bolbitis_crispatula,0,NA,0,NA,0,NA,NA,NA,0,NA,491,GU376655,0,NA,491,unjoined,NA,NA
Bolbitis_fluviatilis,0,NA,0,NA,0,NA,0,NA,0,NA,481,GU376656,400,GU376510,881,voucher,carvalho6457,NA
Bolbitis_gemmifera,0,NA,0,NA,0,NA,0,NA,0,NA,498,GU376657,379,GU376511,877,voucher,fay1001,NA
Bolbitis_heteroclita,0,NA,0,NA,0,NA,911,AY459167,578,AY459155,149,AY459155,0,NA,1638,voucher,jamanrcranfillr6037,NA
Bolbitis_heudelotii,0,NA,0,NA,0,NA,0,NA,0,NA,492,GU376662,392,GU376515,884,voucher,fay1167,NA
Bolbitis_humblotii,NA,NA,NA,NA,NA,NA,1308,KJ464422,NA,NA,NA,NA,NA,NA,1308,unjoined,razafitsala115,Phylogeny and historical biogeography of the lastreopsid ferns
Bolbitis_lianhuachihensis,0,NA,0,NA,0,NA,0,NA,0,NA,466,MK978747,349,MK978746,815,monophy,NA,NA
Bolbitis_lonchophora,NA,NA,NA,NA,NA,NA,1309,KY099778,NA,NA,NA,NA,NA,NA,1309,unjoined,nitta203,Life cycle matters: DNA barcoding reveals contrasting community
Bolbitis_major,0,NA,0,NA,0,NA,0,NA,0,NA,438,GU376665,375,GU376518,813,voucher,jenkins1811,NA
Bolbitis_portoricensis,0,NA,0,NA,0,NA,1275,KJ628645,0,NA,484,GU376670,365,GU376524,2124,monophy,NA,NA
Bolbitis_quoyana,NA,NA,NA,NA,NA,NA,1309,MT657679,NA,NA,NA,NA,NA,NA,1309,unjoined,gmplunkett2924,Biogeography of Pacific pteridophytes in a global context
Bolbitis_repanda,NA,NA,NA,NA,NA,NA,1338,AB232399,NA,NA,NA,NA,NA,NA,1338,unjoined,tsutsumiin125,Evolution of Epiphytes in Davalliaceae and Related Ferns
Bolbitis_rhizophylla,0,NA,0,NA,0,NA,0,NA,0,NA,483,MK639323,338,MK978742,821,voucher,yfhuang169,NA
Bolbitis_salicina,0,NA,0,NA,0,NA,0,NA,0,NA,485,GU376671,381,GU376525,866,voucher,fay1185,NA
Bolbitis_scalpturata,0,NA,0,NA,0,NA,0,NA,0,NA,466,MK639324,366,MK978741,832,voucher,yfhuang164,NA
Bolbitis_semicordata,NA,NA,NA,NA,NA,NA,1208,MK562517,NA,NA,NA,NA,NA,NA,1208,unjoined,NA,NA
Bolbitis_semipinnatifida,NA,NA,NA,NA,NA,NA,1264,KJ628646,NA,NA,NA,NA,NA,NA,1264,unjoined,NA,Phylogenetic relatedness within neotropical fern communities
Bolbitis_serratifolia,0,NA,236,MG600314,0,NA,0,NA,0,NA,481,MG600344,351,MG600372,1068,voucher,matos2244,NA
Bolbitis_sinuata,0,NA,0,NA,0,NA,0,NA,0,NA,496,GU376675,372,GU376529,868,voucher,hoshizaki1719,NA
Bolbitis_subcordata,NA,NA,NA,NA,NA,NA,1205,AB575092,NA,NA,NA,NA,NA,NA,1205,unjoined,tns764012,Molecular species identification with rich floristic sampling: DNA
Bolbitis_terminans,NA,NA,NA,NA,NA,NA,1088,MK779194,NA,NA,NA,NA,NA,NA,1088,unjoined,NA,NA
Bolbitis_tibetica,0,NA,0,NA,0,NA,0,NA,0,NA,491,GU376677,386,GU376531,877,voucher,jenkins1782,NA
Bolbitis_tonkinensis,NA,NA,NA,NA,NA,NA,1253,LC496713,NA,NA,NA,NA,NA,NA,1253,unjoined,hitbctfujiwara201810309,Resolving the Enigma of Fern Genome Evolution: from Genomic
Bolbitis_virens,0,NA,0,NA,0,NA,0,NA,0,NA,466,MK639326,369,MK978745,835,voucher,pflu19796b,NA
Bommeria_ehrenbergiana,NA,NA,NA,NA,NA,NA,1321,U19497,NA,NA,NA,NA,NA,NA,1321,unjoined,NA,Phylogeny and generic circumscriptions of cheilanthoid ferns
Bommeria_elegans,NA,NA,NA,NA,NA,NA,1321,U27729,NA,NA,NA,NA,NA,NA,1321,unjoined,NA,Phylogeny and generic circumscriptions of cheilanthoid ferns
Bommeria_hispida,1692,EU268725,1278,EF452022,0,NA,1308,EF452142,0,NA,0,NA,0,NA,4278,voucher,schuettpelz467,NA
Bommeria_pedata,1754,MK020105,0,NA,0,NA,1309,MK020114,0,NA,0,NA,0,NA,3063,voucher,dukebeck1156,NA
Bommeria_subpaleacea,1756,MK020106,0,NA,0,NA,1308,MK020115,0,NA,0,NA,0,NA,3064,voucher,mexurojasmartinez520,NA
Bosmania_lastii,0,NA,0,NA,0,NA,1238,EU482961,0,NA,0,NA,263,EU483058,1501,voucher,perier7937,NA
Bosmania_membranacea,978,MH113541,670,MH113574,831,MH113607,1194,MH051175,542,MH113474,640,MH113474,482,MH113507,5337,voucher,ccchen1077,NA
Botrychium_acuminatum,NA,NA,NA,NA,NA,NA,552,MG215326,NA,NA,NA,NA,NA,NA,552,unjoined,ccdb24918b12,Using herbarium-derived DNAs to assemble a large-scale DNA barcode
Botrychium_alaskense,NA,NA,NA,NA,NA,NA,552,MG215098,NA,NA,NA,NA,NA,NA,552,unjoined,ccdb18347g1,Using herbarium-derived DNAs to assemble a large-scale DNA barcode
Botrychium_ascendens,NA,NA,NA,NA,NA,NA,552,MG215271,NA,NA,NA,NA,NA,NA,552,unjoined,ccdb23327e04,Using herbarium-derived DNAs to assemble a large-scale DNA barcode
Botrychium_boreale,NA,NA,NA,NA,NA,NA,1325,DQ849126,NA,NA,NA,NA,NA,NA,1325,unjoined,NA,A Phylogenetic Investigation of Botrychium s. s. (Ophioglossaceae):
Botrychium_campestre,NA,NA,NA,NA,NA,NA,553,MG215443,NA,NA,NA,NA,NA,NA,553,unjoined,ccdb24820c07,Using herbarium-derived DNAs to assemble a large-scale DNA barcode
Botrychium_crenulatum,NA,NA,NA,NA,NA,NA,552,MG215201,NA,NA,NA,NA,NA,NA,552,unjoined,ccdb24910d04,Using herbarium-derived DNAs to assemble a large-scale DNA barcode
Botrychium_dusenii,0,NA,0,NA,654,KY191096,NA,NA,0,NA,0,NA,0,NA,654,unjoined,NA,NA
Botrychium_echo,0,NA,0,NA,654,KY191101,NA,NA,0,NA,0,NA,0,NA,654,unjoined,NA,NA
Botrychium_furculatum,0,NA,0,NA,654,KY191106,NA,NA,0,NA,0,NA,0,NA,654,unjoined,NA,NA
Botrychium_gallicomontanum,NA,NA,NA,NA,NA,NA,1321,DQ849133,NA,NA,NA,NA,NA,NA,1321,unjoined,NA,A Phylogenetic Investigation of Botrychium s. s. (Ophioglossaceae):
Botrychium_hesperium,NA,NA,NA,NA,NA,NA,553,MG215478,NA,NA,NA,NA,NA,NA,553,unjoined,ccdb24820g08,Using herbarium-derived DNAs to assemble a large-scale DNA barcode
Botrychium_lanceolatum,NA,NA,NA,NA,NA,NA,1205,LC484368,NA,NA,NA,NA,NA,NA,1205,unjoined,tns1170750,An update and reassessment of fern and lycophyte diversity data in
Botrychium_lineare,NA,NA,NA,NA,NA,NA,552,MG215264,NA,NA,NA,NA,NA,NA,552,unjoined,ccdb18347d1,Using herbarium-derived DNAs to assemble a large-scale DNA barcode
Botrychium_lunaria,NA,NA,NA,NA,NA,NA,1325,DQ849146,NA,NA,NA,NA,NA,NA,1325,unjoined,NA,A Phylogenetic Investigation of Botrychium s. s. (Ophioglossaceae):
Botrychium_matricariifolium,NA,NA,NA,NA,NA,NA,1323,L40967,NA,NA,NA,NA,NA,NA,1323,unjoined,NA,A molecular assessment of species relationships among cryptic
Botrychium_michiganense,0,NA,0,NA,654,KY191224,NA,NA,0,NA,0,NA,0,NA,654,unjoined,NA,NA
Botrychium_minganense,NA,NA,NA,NA,NA,NA,1322,L40968,NA,NA,NA,NA,NA,NA,1322,unjoined,NA,A molecular assessment of species relationships among cryptic
Botrychium_montanum,NA,NA,NA,NA,NA,NA,530,MG215095,NA,NA,NA,NA,NA,NA,530,unjoined,ccdb24915e12,Using herbarium-derived DNAs to assemble a large-scale DNA barcode
Botrychium_mormo,NA,NA,NA,NA,NA,NA,1325,DQ849169,NA,NA,NA,NA,NA,NA,1325,unjoined,NA,A Phylogenetic Investigation of Botrychium s. s. (Ophioglossaceae):
Botrychium_neolunaria,NA,NA,NA,NA,NA,NA,552,MG215439,NA,NA,NA,NA,NA,NA,552,unjoined,ccdb24917a05,Using herbarium-derived DNAs to assemble a large-scale DNA barcode
Botrychium_nordicum,0,NA,0,NA,654,KY191290,NA,NA,0,NA,0,NA,0,NA,654,unjoined,NA,NA
Botrychium_pallidum,NA,NA,NA,NA,NA,NA,1321,DQ849172,NA,NA,NA,NA,NA,NA,1321,unjoined,NA,A Phylogenetic Investigation of Botrychium s. s. (Ophioglossaceae):
Botrychium_paradoxum,NA,NA,NA,NA,NA,NA,551,MG215101,NA,NA,NA,NA,NA,NA,551,unjoined,73463him,Using herbarium-derived DNAs to assemble a large-scale DNA barcode
Botrychium_pedunculosum,NA,NA,NA,NA,NA,NA,553,MG215382,NA,NA,NA,NA,NA,NA,553,unjoined,ccdb28092d11,Using herbarium-derived DNAs to assemble a large-scale DNA barcode
Botrychium_pinnatum,NA,NA,NA,NA,NA,NA,552,MG215558,NA,NA,NA,NA,NA,NA,552,unjoined,ccdb18347f2,Using herbarium-derived DNAs to assemble a large-scale DNA barcode
Botrychium_pseudopinnatum,NA,NA,NA,NA,NA,NA,553,MG215041,NA,NA,NA,NA,NA,NA,553,unjoined,ccdb24820h08,Using herbarium-derived DNAs to assemble a large-scale DNA barcode
Botrychium_pumicola,0,NA,0,NA,654,KY191333,NA,NA,0,NA,0,NA,0,NA,654,unjoined,NA,NA
Botrychium_simplex,NA,NA,NA,NA,NA,NA,552,MG215402,NA,NA,NA,NA,NA,NA,552,unjoined,ccdb18287h01,Using herbarium-derived DNAs to assemble a large-scale DNA barcode
Botrychium_spathulatum,NA,NA,NA,NA,NA,NA,551,MG215351,NA,NA,NA,NA,NA,NA,551,unjoined,80010him,Using herbarium-derived DNAs to assemble a large-scale DNA barcode
Botrychium_tunux,NA,NA,NA,NA,NA,NA,557,KT906421,NA,NA,NA,NA,NA,NA,557,unjoined,cmncansaarela4179b,Vascular plant biodiversity of the lower Coppermine River valley
Botrychium_watertonense,0,NA,0,NA,654,KY191403,NA,NA,0,NA,0,NA,0,NA,654,unjoined,NA,NA
Botrychium_yaaxudakeit,NA,NA,NA,NA,NA,NA,552,MG215324,NA,NA,NA,NA,NA,NA,552,unjoined,ccdb18347c2,Using herbarium-derived DNAs to assemble a large-scale DNA barcode
Botrypus_virginianus,1524,KF186552,0,NA,0,NA,1309,KF186520,0,NA,0,NA,0,NA,2833,voucher,oac96871,NA
Brainea_insignis,0,NA,0,NA,0,NA,1181,KU898628,541,KU898571,610,KU898571,835,KU898684,3167,voucher,p01568306averyanov2702,NA
Calciphilopteris_ludens,1687,EU268741,1278,EF452031,856,KP031672,1308,EF452150,563,KU147318,210,KU147318,911,DQ432686,6813,monophy,NA,NA
Callistopteris_apiifolia,NA,NA,NA,NA,NA,NA,1248,MT657787,NA,NA,NA,NA,NA,NA,1248,unjoined,krwood16874,Biogeography of Pacific pteridophytes in a global context
Callistopteris_baldwinii,NA,NA,NA,NA,NA,NA,1308,MT657790,NA,NA,NA,NA,NA,NA,1308,unjoined,krwood17938,Biogeography of Pacific pteridophytes in a global context
Calochlaena_dubia,NA,NA,NA,NA,NA,NA,1288,U05615,NA,NA,NA,NA,NA,NA,1288,unjoined,NA,rbcL gene sequences provide evidence for the evolutionary lineages
Calochlaena_javanica,NA,NA,NA,NA,NA,NA,1246,HQ334992,NA,NA,NA,NA,NA,NA,1246,unjoined,ba655,"A new species of tree fern Dicksonia (Dicksoniaceae) from Timor,"
Calochlaena_novae-guineae,0,NA,0,NA,1506,MF178053,0,NA,0,NA,0,NA,1013,MF066477,2519,monophy,NA,NA
Calochlaena_straminea,NA,NA,NA,NA,NA,NA,1293,MT657770,NA,NA,NA,NA,NA,NA,1293,unjoined,taranker2616,Biogeography of Pacific pteridophytes in a global context
Calochlaena_villosa,1514,AM176428,1482,AM176588,0,NA,1309,AM177327,603,AM176484,290,JX485672,1022,AM410354,6220,voucher,woodhaus,NA
Calymmodon_asiaticus,0,NA,0,NA,823,MF450480,1249,MF450450,0,NA,0,NA,0,NA,2072,voucher,3531zhangxx,NA
Calymmodon_clavifer,0,NA,1171,KM218818,0,NA,655,KM218804,0,NA,438,KM106117,274,KM106049,2538,voucher,sundue2235,NA
Calymmodon_cucullatus,NA,NA,NA,NA,NA,NA,1309,MT215995,NA,NA,NA,NA,NA,NA,1309,unjoined,usschuettpelz1935,The Evolution of Overrepresentation: exploring the biogeography of
Calymmodon_curtus,0,NA,0,NA,0,NA,0,NA,499,AY362688,515,AY362688,0,NA,1014,publication,NA,unraveling the phylogeny of polygrammoid ferns (polypodiaceae and
Calymmodon_gracilis,0,NA,1266,AY459451,0,NA,1311,AY362341,0,NA,0,NA,0,NA,2577,publication,NA,phylogeny and evolution of grammitid ferns (grammitidaceae): a case
Calymmodon_latealatus,NA,NA,NA,NA,NA,NA,1279,MT657579,NA,NA,NA,NA,NA,NA,1279,unjoined,taranker2249,Biogeography of Pacific pteridophytes in a global context
Calymmodon_luerssenianus,0,NA,1266,AY459452,0,NA,1311,AY460618,0,NA,0,NA,0,NA,2577,voucher,ranker1771trappcolouc,NA
Calymmodon_mnioides,0,NA,1171,KM218820,0,NA,1271,KM218807,0,NA,443,KM106120,272,KM106052,3157,voucher,karger1675,NA
Calymmodon_orientalis,NA,NA,NA,NA,NA,NA,1309,KY099779,NA,NA,NA,NA,NA,NA,1309,unjoined,nitta682,Life cycle matters: DNA barcoding reveals contrasting community
Calymmodon_ponapensis,NA,NA,NA,NA,NA,NA,1302,MT657577,NA,NA,NA,NA,NA,NA,1302,unjoined,krwood13558,Biogeography of Pacific pteridophytes in a global context
Campyloneurum_abruptum,0,NA,0,NA,0,NA,1312,MF318030,0,NA,465,MF318065,782,MF318319,2559,voucher,prance19105,NA
Campyloneurum_aglaolepis,0,NA,0,NA,0,NA,1312,MF318056,0,NA,442,MF318068,636,MF318322,2390,voucher,villaroel1636,NA
Campyloneurum_amphostenon,0,NA,0,NA,0,NA,1312,MF318050,0,NA,441,MF318070,638,MF318324,2391,voucher,testo697,NA
Campyloneurum_anetioides,0,NA,0,NA,0,NA,1228,MF317991,0,NA,436,MF318071,782,MF318325,2446,monophy,NA,NA
Campyloneurum_angustifolium,0,NA,0,NA,0,NA,1312,MF317986,0,NA,442,MF318076,771,MF318327,2525,voucher,martinez28464,NA
Campyloneurum_angustipaleatum,0,NA,0,NA,0,NA,1312,MF318017,0,NA,442,MF318078,781,MF318329,2535,voucher,nee49544,NA
Campyloneurum_aphanophlebium,0,NA,0,NA,0,NA,1320,EU250346,585,EU250352,652,EU250352,274,EF104511,2831,voucher,acebey772,NA
Campyloneurum_asplundii,0,NA,0,NA,0,NA,1299,EU250347,594,EU250353,641,EU250353,268,EF104512,2802,voucher,kesslersn,NA
Campyloneurum_atlanticum,0,NA,0,NA,0,NA,1312,MF317962,0,NA,448,MF318085,794,MF318336,2554,voucher,dittrich561,NA
Campyloneurum_austrobrasilianum,0,NA,0,NA,0,NA,1312,MF318034,0,NA,442,MF318089,761,MF318340,2515,voucher,rosa135,NA
Campyloneurum_brevifolium,1506,EF463802,1278,EF463491,0,NA,1308,EF463245,0,NA,0,NA,0,NA,4092,voucher,christenhusz3950,NA
Campyloneurum_centrobrasilianum,0,NA,0,NA,0,NA,1312,MF317968,0,NA,443,MF318094,598,MF318346,2353,voucher,irwin13057,NA
Campyloneurum_chlorolepis,0,NA,0,NA,0,NA,1312,MF318062,0,NA,442,MF318098,637,MF318349,2391,voucher,zabalaga33,NA
Campyloneurum_chrysopodum,0,NA,0,NA,0,NA,1312,MF318016,0,NA,460,MF318099,777,MF318350,2549,voucher,navarrete1829,NA
Campyloneurum_coarctatum,0,NA,0,NA,0,NA,1312,MF318008,0,NA,460,MF318102,777,MF318351,2549,monophy,NA,NA
Campyloneurum_cochense,0,NA,0,NA,0,NA,1312,MF318041,0,NA,442,MF318106,640,MF318356,2394,voucher,sparre18935,NA
Campyloneurum_costatum,NA,NA,NA,NA,NA,NA,1282,KJ628651,NA,NA,NA,NA,NA,NA,1282,unjoined,NA,Phylogenetic relatedness within neotropical fern communities
Campyloneurum_decurrens,0,NA,0,NA,0,NA,1312,MF317982,0,NA,458,MF318113,770,MF318360,2540,voucher,matos1269,NA
Campyloneurum_densifolium,0,NA,0,NA,0,NA,1312,MF318064,0,NA,442,MF318116,784,MF318363,2538,voucher,zoggandgassner13769,NA
Campyloneurum_ensifolium,0,NA,0,NA,0,NA,1312,MF318010,0,NA,435,MF318194,614,MF318440,2361,voucher,munnestrada854,NA
Campyloneurum_falcoideum,0,NA,0,NA,0,NA,1312,MF318049,0,NA,460,MF318118,784,MF318365,2556,monophy,NA,NA
Campyloneurum_fallax,0,NA,0,NA,0,NA,1312,MF318024,0,NA,450,MF318119,785,MF318366,2547,voucher,labiak3916,NA
Campyloneurum_filiforme,0,NA,0,NA,0,NA,1312,MF318000,0,NA,460,MF318121,777,MF318368,2549,voucher,moran6919,NA
Campyloneurum_fuscosquamatum,0,NA,0,NA,0,NA,1312,MF317951,0,NA,460,MF318123,781,MF318370,2553,voucher,arroyo26,NA
Campyloneurum_gracile,0,NA,0,NA,0,NA,1257,KY847860,571,KY847864,653,KY847864,0,NA,2481,voucher,asalino15357,NA
Campyloneurum_jamaicense,0,NA,0,NA,0,NA,1312,MF317984,0,NA,460,MF318157,777,MF318401,2549,monophy,NA,NA
Campyloneurum_lorentzii,0,NA,0,NA,0,NA,1312,MF317971,0,NA,442,MF318127,778,MF318374,2532,voucher,jimenez2415,NA
Campyloneurum_macrosorum,0,NA,0,NA,0,NA,1312,MF317976,0,NA,460,MF318132,777,MF318377,2549,voucher,kennedy1878,NA
Campyloneurum_magnificum,0,NA,0,NA,0,NA,1320,AY362572,0,NA,447,MF318134,743,MF318379,2510,monophy,NA,NA
Campyloneurum_major,0,NA,0,NA,0,NA,1312,MF318011,0,NA,448,MF318126,781,MF318373,2541,voucher,mynssen1237,NA
Campyloneurum_nitidissimum,0,NA,0,NA,0,NA,1312,MF317967,0,NA,450,MF318174,803,MF318418,2565,voucher,huayla103,NA
Campyloneurum_nitidum,0,NA,0,NA,0,NA,1312,MF318025,0,NA,450,MF318137,778,MF318382,2540,voucher,labiak4163,NA
Campyloneurum_ophiocaulon,0,NA,0,NA,0,NA,1312,MF317964,0,NA,460,MF318143,777,MF318389,2549,voucher,grijalva520,NA
Campyloneurum_parvisquama,0,NA,0,NA,0,NA,NA,NA,0,NA,442,MF318144,0,NA,442,unjoined,NA,NA
Campyloneurum_pascoense,0,NA,0,NA,0,NA,1312,MF318037,0,NA,450,MF318146,776,MF318391,2538,voucher,serrano6057,NA
Campyloneurum_pentaphyllum,0,NA,0,NA,0,NA,NA,NA,0,NA,364,MF318149,0,NA,364,unjoined,NA,NA
Campyloneurum_phyllitidis,0,NA,0,NA,0,NA,1312,MF317975,0,NA,446,MF318151,782,MF318395,2540,voucher,jimenez2661,NA
Campyloneurum_repens,0,NA,0,NA,0,NA,1312,MF317965,0,NA,460,MF318154,781,MF318398,2553,voucher,hollowell522,NA
Campyloneurum_rigidum,0,NA,0,NA,0,NA,1312,MF318032,0,NA,443,MF318160,785,MF318404,2540,monophy,NA,NA
Campyloneurum_serpentinum,0,NA,0,NA,0,NA,1312,MF318046,0,NA,460,MF318158,784,MF318402,2556,monophy,NA,NA
Campyloneurum_solutum,0,NA,0,NA,0,NA,1312,MF318038,0,NA,443,MF318164,783,MF318408,2538,voucher,sigel36,NA
Campyloneurum_sphenodes,NA,NA,NA,NA,NA,NA,1309,MW138261,NA,NA,NA,NA,NA,NA,1309,unjoined,jhnitta725,A taxonomic and molecular survey of the pteridophytes of the
Campyloneurum_tenuipes,0,NA,0,NA,0,NA,1312,MF317987,0,NA,449,MF318173,772,MF318417,2533,voucher,maya3827,NA
Campyloneurum_tucumanense,0,NA,0,NA,0,NA,1312,MF317983,0,NA,450,MF318145,777,MF318390,2539,voucher,martinez1979,NA
Campyloneurum_vexatum,0,NA,0,NA,0,NA,1312,MF317996,0,NA,450,MF318177,781,MF318421,2543,monophy,NA,NA
Campyloneurum_vulpinum,0,NA,0,NA,0,NA,1312,MF318043,0,NA,454,MF318178,787,MF318424,2553,monophy,NA,NA
Campyloneurum_wurdackii,0,NA,0,NA,0,NA,1312,MF318058,0,NA,450,MF318181,616,MF318426,2378,voucher,wurdack41303,NA
Campyloneurum_xalapense,0,NA,0,NA,0,NA,1312,MF318009,0,NA,435,MF318193,610,MF318439,2357,voucher,munnestrada1128,NA
Cephalomanes_atrovirens,NA,NA,NA,NA,NA,NA,1206,AB257485,NA,NA,NA,NA,NA,NA,1206,unjoined,smatsumoto517,A global molecular phylogeny of the fern genus Trichomanes
Cephalomanes_javanicum,NA,NA,NA,NA,NA,NA,1206,Y09195,NA,NA,NA,NA,NA,NA,1206,unjoined,NA,rbcL sequences: a promising tool for the molecular systematics of
Ceradenia_argyrata,0,NA,1272,KY711752,0,NA,1239,KY711926,0,NA,471,KY712253,287,KY711579,3269,voucher,janssen2716,NA
Ceradenia_aulaeifolia,0,NA,1266,AY459453,0,NA,1311,AY460619,0,NA,0,NA,0,NA,2577,voucher,arojas3232uccrinbmo,NA
Ceradenia_ayapoyana,0,NA,0,NA,0,NA,1275,KM218811,0,NA,412,KM106123,295,KM106053,1982,voucher,ijimenez1114,NA
Ceradenia_comorensis,0,NA,1272,KY711760,0,NA,1239,KY711935,0,NA,471,KY712262,261,KY711588,3243,voucher,janssen2452,NA
